id,daily_trap_count,trap_index,latitude,longitude,pressure,date_value,year_week,geoid
1,19.17264701250217,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-10-15,2021-41,1
2,19.47765529971143,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-10-16,2021-41,1
3,19.740757701844576,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-10-17,2021-41,1
4,19.96008390473049,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-10-18,2021-42,1
5,20.134074785753704,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-10-19,2021-42,1
6,20.261493497178183,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-10-20,2021-42,1
7,20.34143425851805,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-10-21,2021-42,1
8,20.37332879545284,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-10-22,2021-42,1
9,20.356950379515133,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-10-23,2021-42,1
10,20.292415439833597,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-10-24,2021-42,1
11,20.18018273547404,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-10-25,2021-43,1
12,20.02105009426216,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-10-26,2021-43,1
13,19.816148741270503,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-10-27,2021-43,1
14,19.566935257286914,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-10-28,2021-43,1
15,19.275181224429023,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-10-29,2021-43,1
16,18.94296063251109,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-10-30,2021-43,1
17,18.572635135687403,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-10-31,2021-43,1
18,18.166837264178184,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-11-01,2021-44,1
19,17.72845171042082,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-11-02,2021-44,1
20,17.26059482267726,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-11-03,2021-44,1
21,16.766592451871322,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-11-04,2021-44,1
22,16.249956309135985,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-11-05,2021-44,1
23,15.714359002137424,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-11-06,2021-44,1
24,15.16360792763509,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-11-07,2021-44,1
25,14.601618205867512,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-11-08,2021-45,1
26,14.03238484916493,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-11-09,2021-45,1
27,13.459954362633637,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-11-10,2021-45,1
28,12.88839597879395,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-11-11,2021-45,1
29,12.321772730655995,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-11-12,2021-45,1
30,11.764112568865912,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-11-13,2021-45,1
31,11.219379728241789,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-11-14,2021-45,1
32,10.69144654724586,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-11-15,2021-46,1
33,10.184065940719686,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-11-16,2021-46,1
34,9.700844721565154,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-11-17,2021-46,1
35,9.245217961019312,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-11-18,2021-46,1
36,8.820424569787935,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-11-19,2021-46,1
37,8.429484273624086,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-11-20,2021-46,1
38,8.07517614702516,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-11-21,2021-46,1
39,7.760018857645828,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-11-22,2021-47,1
40,7.486252761863199,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-11-23,2021-47,1
41,7.255823978771443,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-11-24,2021-47,1
42,7.070370555818825,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-11-25,2021-47,1
43,6.931210824431504,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-11-26,2021-47,1
44,6.8393340284003,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-11-27,2021-47,1
45,6.795393291650425,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-11-28,2021-47,1
46,6.7997009753840825,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-11-29,2021-48,1
47,6.852226457600606,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-11-30,2021-48,1
48,6.95259635077888,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-12-01,2021-48,1
49,7.100097156174525,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-12-02,2021-48,1
50,7.293680335863357,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-12-03,2021-48,1
51,7.531969766475442,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-12-04,2021-48,1
52,7.8132715216335,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-12-05,2021-48,1
53,8.135585913555273,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-12-06,2021-49,1
54,8.496621708219795,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-12-07,2021-49,1
55,8.893812413046367,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-12-08,2021-49,1
56,9.324334521302085,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-12-09,2021-49,1
57,9.785127583543984,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-12-10,2021-49,1
58,10.272915963414244,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-12-11,2021-49,1
59,10.784232123132991,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-12-12,2021-49,1
60,11.315441273159394,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-12-13,2021-50,1
61,11.8627672107942,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-12-14,2021-50,1
62,12.422319164044923,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-12-15,2021-50,1
63,12.990119449929006,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-12-16,2021-50,1
64,13.562131750600477,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-12-17,2021-50,1
65,14.13428980629385,8681098c7ffffff,-10.009467017499984,-45.37656241856117,Low,2021-12-18,2021-50,1
